query,pos,query_en,pos_en
Ai là tác giả của cuốn Lập thành toán pháp,"Vũ Hữu: Công trình toán học ông để lại cho hậu thế nổi bật là Lập Thành Toán Pháp (立 成 算 法). Sác nap gồm cách đo ruộng, tính diện tích ruộng; hình vẽ các thửa ruộng có hình phức tạp và cách tính diện tích loại ruộng này; cách tính bằng bàn tính, bằng phép cửu chương, cửu quy; một số bài tính đố, có cho biết đáp số[2]. Các phép đo ruộng đất được tính theo đơn vị mẫu, sào, thước (24 mét vuông) và tấc (1/10 thước).",Who is the author of Lap thành toán pháp,"Vu Huu: The outstanding mathematical work he left to his descendants is Liangcheng (立成算法). The naps include how to measure fields, calculate the area of fields; drawings of fields with complex shapes and how to calculate the area of this type of field; calculation by abacus, by hexadecimal operations, hexadecimal; some puzzles, which give the answer[2]. Measurements of land are calculated in units of samples, poles, ruler (24 square meters) and centimeters (1/10 yards)."
Bàn thắng muộn của Michael Owen vào lưới Man City năm 2009 được ghi ở phút bao nhiêu,Trận đấu giữa Manchester United và Manchester City trong mùa giải Giải bóng đá Ngoại hạng Anh 2009-10 được diễn ra vào ngày 20 tháng 9 năm 2009 tại Old Trafford. Đây là trận Derby Manchester thứ 153 giữa hai đội. Manchester United đã giành chiến thắng 4-3 với bàn thắng muộn từ Michael Owen trong thời gian hiệp hai. Wayne Rooney mở tỉ số nhưng một sai lầm từ Ben Foster đã giúp Gareth Barry gỡ hoà cho Man City. Hai bàn thắng của Darren Fletcher và Craig Bellamy đưa trận đấu tới tỷ số hoà 3-3 trong những phút cuối trận trước khi Owen ghi bàn ấn định chiến thắng cho đội chủ nhà ở phút 90+6. Trận đấu đã chứng kiến ​​sự trở lại của tiền đạo Carlos Tevez tại Old Trafford sau khi rời khỏi Man United vào mùa hè năm đó.,Michael Owen's late goal against Man City in 2009 was scored in what minute,The match between Manchester United and Manchester City in the 2009-10 Premier League was played on 20 September 2009 at Old Trafford. It was the 153rd Manchester derby between the two teams. Manchester United won 4-3 with a late goal from Michael Owen in the second half. Wayne Rooney opened the scoring but a mistake from Ben Foster helped Gareth Barry equalise for City. Two goals from Darren Fletcher and Craig Bellamy brought the match to a 3–3 draw in the last minutes before Owen scored the winner for the hosts in the 90+6 minute. The match saw the return of striker Carlos Tevez at Old Trafford after leaving Man United that summer.
Tỉnh Gia Lai có diện tích xếp thứ mấy so với cả nước,"Gia Lai là tỉnh có diện tích lớn thứ 2 Việt Nam và là một tỉnh miền núi nằm ở khu vực phía bắc của vùng Tây Nguyên, Việt Nam. Nguồn gốc tên gọi Gia Lai bắt nguồn từ chữ Jarai, tên gọi của một dân tộc thiểu số trong tỉnh, cách gọi này vẫn còn giữ trong tiếng của người Ê-đê, Bana, Lào, Thái Lan và Campuchia để gọi vùng đất này là Jarai, Charay, Ia Grai có nghĩa là vùng đất của người Jarai, có lẽ ám chỉ vùng đất của Thủy Xá và Hỏa Xá thuộc tiểu quốc Jarai xưa.",What is the area of Gia Lai province compared to the whole country?,"Gia Lai is the second largest province in Vietnam and is a mountainous province located in the northern region of the Central Highlands, Vietnam. The origin of the name Gia Lai is derived from the word Jarai, the name of an ethnic minority in the province, this way is still kept in the language of the Ede, Bana, Laos, Thailand and Cambodia to call this land Jarai, Charay, Ia Grai means the land of the Jarai, probably referring to the land of the Thuy Xa and Hoa Xa of the ancient Jarai sub-country."
"Anh hùng Núp là nhân vật nguyên mẫu trong tác phẩm ""Đất nước đứng lên"" của nhà văn nào","Sau Hiệp định Genève, nhà văn Nguyên Ngọc bắt tay vào viết tiểu thuyết "" Đất nước đứng lên"". Đây là tiểu thuyết nổi tiếng của Nguyên Ngọc, tác phẩm có nội dung kể về cuộc kháng chiến chống Pháp của người Ba Na, tiêu biểu là nhân vật anh hùng Núp và dân làng Kông-Hoa. Tiểu thuyết là tác phẩm dựa trên câu chuyện có thật của anh hùng Đinh Núp. Tác phẩm ""Đất nước đứng lên"", sau này đã được dựng thành một bộ phim nói về người anh hùng Núp.","Hero Núp is the prototype character in the work ""Country stands up"" of any writer","After the Geneva Accords, writer Nguyen Ngoc began to write the novel ""Country stands up"". This is a famous novel by Nguyen Ngoc, which tells the story of the Ba Na people's resistance to the French, typified by the heroic character of Nup and the villagers of Kong-Hoa. The novel is based on the true story of Dinh Nup. The work ""Country stands up"", which was later made into a film about the hero of Nup."
Dãy núi nào chạy qua địa phận tỉnh Yên Bái,"Dãy núi Hoàng Liên Sơn rộng 30 km, chạy dài 180 km theo hướng tây bắc-đông nam, giữa hai tỉnh Lào Cai và Lai Châu kéo dài đến tận phía tây tỉnh Yên Bái. Đây là phần cuối của dãy núi Ai Lao Sơn, đoạn tận cùng phía đông nam của dãy núi Himalaya. Phần tây bắc của dãy núi có nhiều ngọn núi cao trên 2.800 m, trong đó có ngọn Phan Xi Păng cao 3.143 m (có tài liệu nói Phan Xi Păng cao 3.542 m), cao nhất Đông Dương. Ngoài ra còn có ngọn Tả Giàng Phình cao 3.090 m, Pú Luông cao 2.938 m.",What mountains run through Yen Bai province,"Hoang Lien Son mountain range is 30 km wide, 180 km long in the northwest-southeast direction, between Lao Cai and Lai Chau provinces stretching to the west of Yen Bai province. This is the end of the Ai Lao Son mountain range, the southeastern end of the Himalayan mountain range. The northwestern part of the mountain range has many mountains over 2,800 m high, including Phan Xi Pang (3,143 m high) (there are documents saying Phan Xi Pang is 3,542 m high), the highest in Indochina. There are also Ta Giang Phuong (3,090 m high), Pu Luong (2,938 m high)."
Địa hình chủ yếu của tỉnh Khánh Hòa là gì,"Khánh Hòa: Là một tỉnh nằm sát dãy núi Trường Sơn, đa số diện tích Khánh Hòa là núi non, miền đồng bằng rất hẹp, chỉ khoảng 400 km2, chiếm chưa đến 1/10 diện tích toàn tỉnh.[28] Miền đồng bằng lại bị chia thành từng ô, cách ngăn bởi những dãy núi ăn ra biển. Do đó để đi suốt dọc tỉnh phải đi qua rất nhiều đèo như đèo Cả, đèo Cổ Mã, đèo Chín Cụm, đèo Bánh Ít, đèo Rọ Tượng, đèo Rù Rì.",What is the main terrain of Khanh Hoa province,"Khanh Hoa: A province located close to the Truong Son mountain range, most of Khanh Hoa is mountainous, very narrow plains, only about 400 km2, accounting for less than 1/10 of the province.[28] The plains are divided into cells, separated by mountains to the sea. Therefore, to travel throughout the province, you must go through many passes such as Ca Pass, Co Ma Pass, Nine Clum Pass, Banh Tiet Pass, Ro Tuong Pass, Ru Ri Pass."
Vùng đất Khánh Hòa chính thức trở thành một bộ phận lãnh thổ nước ta từ thời nào,"Ngày 9 tháng 3 năm 1945, Nhật đảo chính Pháp, giao tỉnh Khánh Hòa cho các quan Nam triều quản lý, cơ quan hành chính của tỉnh dời xuống Nha Trang. Từ đó, Nha Trang chính thức trở thành tỉnh lỵ của tỉnh Khánh Hòa.",When did Khanh Hoa officially become a part of our country's territory,"On March 9, 1945, the Japanese coup d'état, assigned Khanh Hoa province to the South Korean officials for management, the administrative body of the province moved to Nha Trang. Since then, Nha Trang officially became the provincial capital of Khanh Hoa province."
Cuộc chiến tại Syria đã xảy ra bao lâu,"Nội chiến Syria: Thời gian	26 tháng 1, 2011 — nay (8 năm, 1 tháng, 4 tuần)",How long has the war in Syria been going on,"Syrian Civil War: Period January 26, 2011 — present (8 years, 1 month, 4 weeks)"
Nhiệm vụ chính của thận là gì,"Thận (hay cật thường khi nói đến cơ thể loài thú) là một tạng (cơ quan) trong hệ tiết niệu, có hai quả, có nhiều chức năng, được tìm thấy trong một số loại động vật có xương sống và không xương sống. Chúng là một bộ phận quan trọng của hệ tiết niệu và cũng có chức năng hằng định nội môi như điều chỉnh các chất điện phân, duy trì sự ổn định axit-bazơ, và điều chỉnh huyết áp. Các quả thận đóng vai trò là bộ lọc máu tự nhiên trong cơ thể, và các chất thải theo niệu quản được dẫn đến bàng quang để thải ra ngoài. Trong việc tạo ra nước tiểu, các quả thận bài tiết các chất thải như urê, acid uric và amoniac; thận cũng có nhiệm vụ tái hấp thụ nước, glucose, và các axít amin. Thận cũng sản xuất các hóc môn như calcitriol, renin, và erythropoietin.",What is the main task of the kidneys,"The kidney (or kidney usually refers to the animal body) is an organ (organ) in the urinary system, with two fruits, which have many functions, found in some types of vertebrates and invertebrates. They are an important part of the urinary system and also have constant homeostatic functions such as regulating electrolytes, maintaining acid-base stability, and regulating blood pressure. The kidneys serve as the natural blood filter in the body, and waste products by the ureters are directed to the bladder for discharge. In making urine, the kidneys excrete waste products such as urea, uric acid, and ammonia; the kidneys are also responsible for the reabsorption of water, glucose, and amino acids. The kidneys also produce hormones such as calcitriol, renin, and erythropoietin."
Triều Tiên rút khỏi Hiệp ước không phổ biến vũ khí hạt nhân vào năm nào,"Bắc Triều Tiên đã phê chuẩn Hiệp ước, nhưng lại rút khỏi hiệp ước ngày 10 tháng 1 năm 2003, sau những cáo buộc của Hoa Kỳ cho rằng Bắc Triều Tiên đã khởi động chương trình làm giàu urani; khi ấy Hoa Kỳ đình chỉ việc vận chuyển dầu nhiên liệu đến Bắc Triều Tiên trong khuôn khổ Khung Thoả thuận năm 1994 nhằm giải quyết các vấn đề vũ khí plutoni. Ngày 10 tháng 2 năm 2005, Bắc Triều Tiên công bố sở hữu vũ khí hạt nhân và tuyên bố rút khỏi những cuộc đàm phán sáu bên do Trung Quốc đứng ra tổ chức nhằm tìm kiếm một giải pháp ngoại giao cho vấn đề. ""Chúng tôi đã rút khỏi Hiệp ước Cấm Phổ biến Vũ khí Hạt nhân và đã chế tạo vũ khí hạt nhân cho mục đích phòng vệ để đối phó với chính sách trắng trợn của chính phủ Bush nhằm cô lập và bóp nghẹt nước Cộng hòa Dân chủ Nhân dân Triều Tiên"", lời của một tuyên bố của Bộ Ngoại giao Bắc Triều Tiên. Những cuộc đàm phán sáu bên được tái tục vào tháng 7 năm 2005, nhưng lại ngưng vào ngày 7 tháng 8 mà không có tiến bộ nào. Các bên đã lại gặp nhau ngày 29 tháng 8.",Which year does North Korea withdraw from the Treaty on the Non-Proliferation of Nuclear Weapons,"North Korea ratified the treaty, but withdrew from it on January 10, 2003, following U.S. allegations that it had launched a uranium enrichment program; the U.S. then suspended the delivery of fuel oil to North Korea under the 1994 Framework to address the plutonium weapons issue. On February 10, 2005, North Korea announced its possession of nuclear weapons and announced its withdrawal from the six - party talks organized by China to seek a diplomatic solution to the issue. ""We have withdrawn from the Nuclear Weapons Prohibition Treaty and have made nuclear weapons for defensive purposes in response to the Bush administration's flagrant policy of isolating and strangling the People's Democratic Republic of Korea,"" a North Korean State Department statement said. The six - party talks resumed in July 2005, but ceased again on August 7 with no progress. The parties met again on August 29."
Vườn quốc gia nào thuộc tỉnh Kon Tum,"Vườn quốc gia Chư Mom Ray, nguyên là khu bảo tồn thiên nhiên Chư Mom Ray, thuộc tỉnh Kon Tum, là một vườn quốc gia trong hệ thống các khu rừng đặc dụng của Việt Nam. Được thành lập theo quyết định của Thủ tướng chính phủ Cộng hòa Xã hội Chủ nghĩa Việt Nam số 103/2002/QĐ-TTg ngày 30 tháng 7 năm 2002. Vườn quốc gia Chư Mom Ray được coi là vương quốc khỉ, vượn vì nhiều loài khỉ, vượn quý hiếm có tên trong sách đỏ đã được đưa về đây. Hầu hết những con khỉ, vượn quý hiếm đều được đưa về trong tình trạng sắp chết, sau đó được cứu sống. Khi thương tích lành, lũ khỉ, vượn lại trở về với đời sống bản năng, kết hợp với lũ khỉ, vượn ở từ trước đó, chúng biến Vườn quốc gia Chư Mom Ray thành vương quốc riêng.",Which National Parks in Kon Tum Province,"Chu Mom Ray National Park, formerly known as Chu Mom Ray Nature Reserve, in Kon Tum province, is a national park in Vietnam's system of special-use forests. Established under the Prime Minister's Decision No. 103/2002/QD-TTg of July 30, 2002. Chu Mom Ray National Park is considered a monkey and apes kingdom because many rare and precious monkeys and apes named in the red book have been brought here. Most of the rare and precious monkeys and apes are brought home in the state of dying, then saved. When the injury heals, the monkeys and apes return to their instinctive life, combined with the monkeys and apes before, they turn Chu Mom Ray National Park into a separate kingdom."
Cuộc cải cách lớn nào ở Nhật Bản giúp nước này vươn lên trở thành cường quốc ở châu Á,"Với sự tăng trưởng thần kỳ qua ba giai đoạn, Nhật Bản là một trong số các quốc gia được nghiên cứu nhiều nhất về lịch sử kinh tế. Giai đoạn đầu tiên bắt đầu từ sự thành lập thành phố Edo (năm 1603) dẫn đến sự phát triển toàn diện của kinh tế nội địa. Giai đoạn thứ hai chính từ cuộc cải cách Minh Trị Duy Tân (năm 1868) đưa nước Nhật trở thành cường quốc đầu tiên ở châu Á sánh được với các quốc gia châu Âu. Trong giai đoạn cuối cùng, từ sự thất trận trong Thế Chiến thứ hai (năm 1945) đảo quốc này đã vươn mình trở nên kinh tế lớn thứ hai thế giới.",What Big Reforms in Japan Help Japan Rise to Be a Great Power in Asia,"With a miraculous growth over three periods, Japan is one of the most studied countries in economic history. The first period began with the establishment of the city of Edo (1603) which led to the comprehensive development of the domestic economy. The second main period from the Meiji Restoration (1868) made Japan the first power in Asia comparable to European countries. In the last period, from the defeat in World War II (1945) the island rose to become the second largest economy in the world."
Cao nguyên Măng Đen còn có tên khác là gì,"Cao nguyên Măng Đen hay còn có tên gọi cao nguyên Kon Plông trải rộng trên diện tích huyện Kon Plông, là một trong hai cao nguyên ở tỉnh Kon Tum, cao nguyên còn lại là cao nguyên Kon Tum",What is the other name of Mang Đen Plateau?,"Mang Den Plateau, also known as Kon Plông Plateau, spreads over Kon Plông district, is one of the two highlands in Kon Tum province, the other is Kon Tum plateau"
"Trước khi trở thành quốc gia độc lập hiện nay, Lào là thuộc địa của nước nào","Năm 1707, Lan Xang tan rã và Luangprabang trở thành thủ đô của Vương quốc Luangprabang độc lập. Khi Pháp sáp nhập Lào, Pháp công nhận Luangprabang là nơi cư ngụ hoàng gia của Lào. Cuối cùng, vị vua cai trị Luangprabang trở thành đồng nghĩa với nguyên thủ quốc gia của Nhà nước bảo hộ Lào thuộc Pháp. Khi Lào giành lại độc lập, vua Luangprabang, Sisavang Vong, trở thành lãnh đạo quốc gia của Vương quốc Lào.","Before becoming the current independent country, which country was Laos a colony of?","In 1707, Lan Xang disintegrated and Luangprabang became the capital of the independent Kingdom of Luangprabang. When France annexed Laos, France recognized Luangprabang as the royal residence of Laos. Eventually, the king who ruled Luangprabang became synonymous with the head of state of the French Protectorate of Laos. When Laos regained independence, Luangprabang's king, Sisavang Vong, became the national leader of the Kingdom of Laos."
Thủ đô của Lào là gì,Lào chia thành 17 tỉnh và thủ đô Viêng Chăn. Các tỉnh lại chia thành các huyện (muang). Thành phố Viêng Chăn chia thành các quận.,What is the capital of Laos,Laos is divided into 17 provinces and the capital Vientiane. The provinces are further divided into districts (muang). The city of Vientiane is divided into districts.
Nước Nhật thuộc khu vực nào của châu Á,"Nhật Bản là một đảo quốc bao gồm một quần đảo địa tầng trải dọc tây Thái Bình Dương ở Đông Bắc Á, với các đảo chính bao gồm Honshu, Kyushu, Shikoku và Hokkaido.",What part of Asia does Japan belong to,"Japan is an island nation comprising a stratigraphic archipelago stretching across the western Pacific Ocean in Northeast Asia, with the main islands including Honshu, Kyushu, Shikoku and Hokkaido."
Tỉnh Quảng Ngãi hiện có bao nhiêu đơn vị hành chính cấp huyện/thị,"Tỉnh Quảng Ngãi bao gồm 1 thành phố trực thuộc, 1 thị xã và 12 huyện trong đó có 1 huyện đảo, 5 huyện đồng bằng, 6 huyện miền núi, trong đó có với 184 đơn vị hành chính cấp xã, gồm có 9 thị trấn, 14 phường và 161 xã.",How many district-level administrative units does Quang Ngai province currently have?,"Quang Ngai province consists of one affiliated city, one town and 12 districts, including one island district, five delta districts and six mountainous districts, with 184 commune - level administrative units, including 9 townships, 14 wards and 161 communes."
"Trước đây, tỉnh Quảng Ngãi còn có tên gọi nào khác","Quảng Ngãi: Năm 1527, Mạc Đăng Dung chiếm ngôi nhà Lê, lập nên nhà Mạc. Năm 1533, Nguyễn Kim nổi lên chống nhà Mạc, tôn Lê Duy Ninh lên làm vua, lấy hiệu là vua Lê Trung Tông, hình thành cục diện Nam- Bắc triều. Năm 1545, Tướng của Nguyễn Kim là Bùi Tá Hán được giao nhiệm vụ trấn thủ Quảng Nam (nay là vùng đất thuộc các tỉnh Quảng Nam, Quảng Ngãi, Bình Định và thành phố Đà Nẵng). Năm 1558, Nguyễn Hoàng nhận nhiệm vụ trấn thủ Thuận Hóa. Năm 1602, Trấn Quảng Nam đổi thành dinh Quảng Nam, phủ Tư Nghĩa (thuộc dinh Quảng Nam) đổi thành phủ Quảng Nghĩa/Ngãi (danh xưng Quảng Ngãi/ Nghĩa lần đầu tiên xuất hiện, phủ Quảng Nghĩa nay là tỉnh Quảng Ngãi).","Previously, Quang Ngai province had no other name","Quang Ngai: In 1527, Mac Dang Dung occupied the Le house, founding the Mac dynasty. In 1533, Nguyen Kim rose up against the Mac dynasty, installed Le Duy Ninh as king, taking the title of King Le Trung Tong, forming the South-North Dynasty. In 1545, Nguyen Kim's general Bui Ta Han was assigned the task of township of Quang Nam (now the land of Quang Nam, Quang Ngai, Binh Dinh and Da Nang). In 1558, Nguyen Hoang received the task of township of Thuan Hoa. In 1602, Tran Quang Nam changed into Quang Nam palace, Tu Nghia (belonging to Quang Nam palace) changed into Quang Nghia/Ngãi government (the name Quang Ngai/ Nghia first appeared, Quang Nghia government is now Quang Ngai province)."
Quảng Ngãi là quê hương của danh nhân nào,"Quảng Ngãi là mảnh đất có bề dày lịch sử về Văn hóa Sa Huỳnh và Văn hóa Chăm Pa, đặc biệt là hệ thống thành lũy Chàm. Bên cạnh đó là hai danh thắng nổi tiếng là ""núi Ấn sông Trà"". Quảng Ngãi là quê hương của Lê Văn Duyệt, Trương Định, Trương Đăng Quế, Bạch Văn Vĩnh, Lê Trung Đình, nhiều nhà trí thức, nhà văn, nhà thơ, nhạc sĩ, nghệ sĩ tên tuổi: Nguyễn Vỹ, Bích Khê,Thanh Thảo, Tế Hanh, Trà Giang, Trương Quang Lục, Thế Bảo, Nhất Sinh...",Quang Ngai is the hometown of any celebrity,"Quang Ngai is a land with a rich history of Sa Huynh and Cham cultures, especially Cham citadel system. Besides, two famous landscapes are ""Indus Mountain of Tra River"". Quang Ngai is the hometown of Le Van Duyet, Truong Dinh, Truong Dang Que, Bach Van Vinh, Le Trung Dinh, many famous intellectuals, writers, poets, musicians and artists: Nguyen Vy, Bich Khe, Thanh Thao, Te Hanh, Tra Giang, Truong Quang Luc, The Bao, Nhat Sinh ..."
"Huyện đảo nào ở Quảng Ngãi có tên là ""vương quốc tỏi""","Huyện đảo Lý Sơn (Quảng Ngãi) là vùng đất nổi tiếng nhất về việc trồng tỏi. Sự khác biệt về thổ nhưỡng và kinh nghiệm trồng trọt đã giúp cho vùng đất đảo nổi tiếng với loại tỏi mồ côi hay còn gọi là tỏi một. Người ta gọi là tỏi mồ côi vì loại tỏi này khác với loại tỏi thường vẫn ăn. Mỗi củ tỏi mồ côi chỉ có một tép và khi ăn có mùi thơm rất đặc trưng. Vì số lượng không nhiều nên loại tỏi này được xem là ""của hiếm"" và khi bán thì có giá thành cao hơn nhiều so với loại tỏi thường","Which island district in Quang Ngai is named ""garlic kingdom""","Ly Son island district (Quang Ngai) is the most famous land for garlic cultivation. The differences in soil and cultivation experience have made the island land famous for orphaned garlic, also known as single garlic. It is called orphaned garlic because this type of garlic is different from ordinary garlic. Each orphaned garlic has only one clove and when eaten has a very characteristic aroma"
Nhà máy lọc dầu đầu tiên của Việt Nam được xây dựng ở Quảng Ngãi có tên gì,"Nhà máy lọc dầu Dung Quất, thuộc Khu kinh tế Dung Quất, là nhà máy lọc dầu đầu tiên của Việt Nam xây dựng thuộc địa phận xã Bình Thuận và Bình Trị, huyện Bình Sơn, tỉnh Quảng Ngãi. Đây là một trong những dự án kinh tế lớn, trọng điểm quốc gia của Việt Nam trong giai đoạn đầu thế kỷ 21.",What is the name of Vietnam's first oil refinery to be built in Quang Ngai,"Dung Quat Oil Refinery, located in Dung Quat Economic Zone, is the first oil refinery in Vietnam to be built in Binh Thuan and Binh Tri communes, Binh Son district, Quang Ngai province. This is one of Vietnam's major and key national economic projects in the early 21st century."
Núi Thiên Ấn nằm bên dòng sông nổi tiếng nào ở tỉnh Quảng Ngãi,"Thiên Ấn hay còn gọi là Kim Ấn Sơn là ngọn núi nằm ở tả ngạn sông Trà Khúc, thuộc địa phận xã Tịnh Ấn Đông và phường Trương Quang Trọng, Thành phố Quảng Ngãi, tỉnh Quảng Ngãi.",What famous river is Thien In Mountain in Quang Ngai province,"Thien In, also known as Kim In Son, is a mountain located on the left bank of the Tra Khuc river, in Tinh In Dong commune and Truong Quang Trong ward, Quang Ngai city, Quang Ngai province."
Lời tuyên bố đầu hàng của Dương Văn Minh được đọc ở đâu,"Chướng ngại cuối cùng đối với Quân đoàn 4 Quân Giải phóng miền Nam Việt Nam trên đường tiến vào Sài Gòn là khu phòng thủ Hố Nai - Long Bình - Tam Hiệp do nhữug lực lượng còn lại của Sư đoàn 18, 2 tiểu đoàn còn lại của Lữ đoàn kỵ binh thiết giáp số 3 và Liên đoàn bảo an 318 phòng thủ. Tại đây, tướng Lê Minh Đảo đã cho đào 4 lớp hào chống tăng, đặt âm các xe tăng trong công sự, hình thành nhiều ổ đề kháng cố định và cơ động. Để giải quyết nhanh cụm phòng thủ này, ngày 29 tháng 4, tướng Hoàng Cầm một mặt sử dụng 1 trung đoàn của sư đoàn 341 và trung đoàn pháo binh 55 dùng hỏa lực chế áp các cứ điểm phòng thủ của Quân lực Việt Nam Cộng hòa, mặt khác điều 2 trung đoàn 266 và 270 phối hợp với sư đoàn 6 vòng qua cụm chốt đánh chiếm sân bay Biên Hoà, Sở chỉ huy Quân đoàn III - Quân lực Việt Nam Cộng hòa, Sở chỉ huy sư đoàn 3 không quân, trận địa pháo Hốc Bà Thức và tổng kho Long Bình. 4 giờ sáng ngày 30 tháng 4, Sư đoàn 7 (Quân đoàn 4) đã có mặt tại cầu cầu Ghềnh. Do cầu yếu (trọng tải 12 tấn/lượt xe), toàn bộ xe tăng của Quân đoàn 4 phải di chuyển qua cầu Xa lộ để vào Sài Gòn. Tại ngã ba Tam Hiệp, tướng Lê Minh Đảo cố gắng lập một cụm chốt phòng ngự nhưng cũng bị đánh tan lúc 11 giờ trưa ngày 30 tháng 4. 12 giờ 30 phút, các đơn vị phái đi trước của trung đoàn 14, sư đoàn 7, Quân đoàn 4 hội quân với trung đoàn 66, sư đoàn 304, Quân đoàn 2 tại Dinh Độc Lập đúng lúc Tổng thống Dương Văn Minh đã đọc xong lời tuyên bố đầu hàng không điều kiện trên Đài phát thanh Sài Gòn.",Where was Duong Van Minh's declaration of surrender read,"The last obstacle for the 4th Army of the South Vietnamese Liberation Army on the way to Saigon was the defense zone of Ho Nai - Long Binh - Tam Hiep by the remaining forces of the 18th Division, the remaining 2 battalions of the 3rd Armoured Cavalry Brigade and the 318th Security Group. Here, General Le Minh Dao dug 4 layers of anti-tank trenches, placed tanks in the fortifications, formed many fixed and mobile resistance nests. To quickly solve this defense cluster, on April 29, General Hoang Cam on the one hand used a regiment of the 341st Division and the 55th Artillery Regiment to suppress the defense points of the ARVN, on the other hand 2 regiments of the 266th and 270th in coordination with the 6th Division rounded the block to capture Bien Hoa airfield, the headquarters of the III Corps - ARVN, the headquarters of the 3rd Air Force Division, the artillery battlefield of Hoc Ba Thuc and the Long Binh General Warehouse. At 4 a.m. on April 30, the 7th Division (Army 4) was present at Ghenh Bridge. Due to the weak bridge (12 tons per vehicle load), all tanks of the 4th Army had to move across the Highway bridge to enter Saigon. At the junction of Tam Hiep, General Le Minh Dao tried to set up a defense cluster but was also routed at 11 noon on April 30. At 12: 30, the units sent ahead of the 14th Regiment, 7th Division, 4th Army joined with the 66th Regiment, 304th Division, 2nd Army at the Independence Palace just as President Duong Van Minh finished the unconditional surrender announcement on Saigon Radio."
Chiến dịch Hồ Chí Minh diễn ra trong khoảng thời gian nào,"Chiến dịch Hồ Chí Minh, tên nguyên thủy là Chiến dịch Giải phóng Sài Gòn – Gia Định, là chiến dịch cuối cùng của Quân Giải phóng miền Nam Việt Nam trong Cuộc Tổng tấn công và nổi dậy mùa Xuân năm 1975 và cũng là chiến dịch cuối cùng của cuộc Chiến tranh Việt Nam. Đây cũng là chiến dịch quân sự có thời gian diễn biến ngắn nhất trong Chiến tranh Việt Nam, diễn ra từ ngày 26 tháng 4 đến ngày 30 tháng 4 năm 1975 tại Sài Gòn và kéo theo các cuộc nổi dậy vũ trang của Mặt trận Dân tộc Giải phóng miền Nam Việt Nam và Chính phủ Cách mạng lâm thời Cộng hòa miền Nam Việt Nam tại Đồng bằng sông Cửu Long trong hai ngày 1 và 2 tháng 5. Chiến dịch này dẫn đến kết quả là chấm dứt hoàn toàn sự chia cắt thành hai vùng tập kết quân sự giữa hai miền Nam – Bắc của Việt Nam sau 21 năm, đưa đến việc thống nhất xã hội, chế độ chính trị, dân cư và toàn vẹn lãnh thổ của Việt Nam trên đất liền, vùng lãnh hải, vùng trời và một số hải đảo.",When did the Ho Chi Minh Campaign take place,"The Ho Chi Minh Campaign, originally known as the Saigon – Gia Dinh Liberation Campaign, was the last operation of the South Vietnamese Liberation Army during the Spring Offensive and Uprising of 1975 and also the last operation of the Vietnam War. It was also the shortest-running military campaign of the Vietnam War, taking place from April 26 to April 30, 1975 in Saigon and entailed the armed uprisings of the National Front for the Liberation of South Vietnam and the Provisional Revolutionary Government of the Republic of South Vietnam in the Mekong Delta on May 1 and 2. This campaign resulted in the complete end of the partition into two military concentration zones between the South and North of Vietnam after 21 years, bringing to the unification of Vietnam's society, political regime, population and territorial integrity on the mainland, territorial waters, airspace and some islands."
Tỉnh Bạc Liêu nằm trên bán đảo nào,"Bạc Liêu là một tỉnh thuộc duyên hải vùng bằng sông Cửu Long, nằm trên bán đảo Cà Mau, miền đất cực Nam của Việt Nam. Tỉnh Bạc Liêu được thành lập ngày 20 tháng 12 năm 1899 và chính thức hoạt động từ ngày 1 tháng 1 năm 1900. Ngày 22 tháng 10 năm 1956, tỉnh Bạc Liêu bị giải thể nhập vào tỉnh Ba Xuyên. Ngày 8 tháng 9 năm 1964, tỉnh Bạc Liêu được tái lập trở lại. Tháng 2 năm 1976, tỉnh Bạc Liêu lại bị giải thể, nhập vào tỉnh Minh Hải. Ngày 6 tháng 11 năm 1996, tỉnh Bạc Liêu được tái lập thêm lần nữa, chính thức đi vào hoạt động từ ngày 1 tháng 1 năm 1997 cho đến ngày nay.",Which peninsula is Bac Lieu province located on,"Bac Lieu is a province on the coast of the Mekong Delta, located on the Ca Mau Peninsula, the southernmost land of Vietnam. Bac Lieu province was established on December 20, 1899 and officially operated from January 1, 1900. On October 22, 1956, Bac Lieu province was dissolved and merged into Ba Xuyen province. On September 8, 1964, Bac Lieu province was re-established. In February 1976, Bac Lieu province was again dissolved and merged into Minh Hai province. On November 6, 1996, Bac Lieu province was re-established again, officially operating from January 1, 1997 to the present day."
